Transaction_ID,Date,Branch,City,Customer_ID,Customer_Type,Gender,Age,Product,Category,Quantity,Unit_Price,Discount,Payment_Method,Customer_Rating,Cost,Sales,Profit
TXN-10001,2023-11-24 10:00:00,Branch A,New York,CUST-1758,Normal,Male,65,Bread,Groceries,6,4,0.0,Credit Card,3.2,2,24.0,12.0
TXN-10002,2023-10-07 10:00:00,Branch A,New York,CUST-1027,Member,Female,20,Laptop,Electronics,2,800,0.07,Credit Card,4.5,600,1488.0,288.0
TXN-10003,2023-10-15 12:00:00,Branch C,Chicago,CUST-1432,Member,Female,32,Plant Pot,Home & Garden,1,15,0.13,E-Wallet,3.8,5,13.05,8.05
TXN-10004,2023-06-24 13:00:00,Branch C,Chicago,CUST-1618,Member,Male,31,Organic Apples,Groceries,9,5,0.06,Cash,5.0,3,42.3,15.3
TXN-10005,2023-05-16 09:00:00,Branch A,New York,CUST-1643,Member,Female,52,T-Shirt,Clothing,7,25,0.06,Credit Card,4.1,10,164.5,94.5
TXN-10006,2023-11-13 14:00:00,Branch A,New York,CUST-1081,Normal,Male,63,Laptop,Electronics,1,800,0.0,Credit Card,4.5,600,800.0,200.0
TXN-10007,2023-04-30 10:00:00,Branch B,Los Angeles,CUST-1699,Normal,Female,35,Sneakers,Clothing,6,80,0.0,Credit Card,3.4,30,480.0,300.0
TXN-10008,2023-11-28 10:00:00,Branch B,Los Angeles,CUST-1701,Member,Male,52,Milk,Groceries,10,3,0.09,Cash,3.6,2,27.3,7.3
TXN-10009,2023-06-16 09:00:00,Branch A,New York,CUST-1965,Normal,Male,20,Plant Pot,Home & Garden,7,15,0.0,E-Wallet,3.4,5,105.0,70.0
TXN-10010,2023-10-18 20:00:00,Branch A,New York,CUST-1252,Member,Female,31,Coffee Beans,Groceries,13,15,0.1,Credit Card,4.0,8,175.5,71.5
TXN-10011,2023-10-15 17:00:00,Branch A,New York,CUST-1141,Normal,Female,65,Headphones,Electronics,7,100,0.0,Credit Card,5.0,50,700.0,350.0
TXN-10012,2023-09-18 16:00:00,Branch B,Los Angeles,CUST-1065,Member,Male,21,T-Shirt,Clothing,3,25,0.11,Credit Card,5.0,10,66.75,36.75
TXN-10013,2023-07-17 15:00:00,Branch A,New York,CUST-1273,Normal,Female,51,Bread,Groceries,13,4,0.04,E-Wallet,4.1,2,49.92,23.92
TXN-10014,2023-11-25 14:00:00,Branch C,Chicago,CUST-1736,Normal,Male,36,Office Chair,Home & Garden,8,120,0.0,Credit Card,4.4,60,960.0,480.0
TXN-10015,2023-05-15 17:00:00,Branch A,New York,CUST-1203,Member,Male,50,Laptop,Electronics,5,800,0.13,Credit Card,4.5,600,3480.0,480.0
TXN-10016,2023-03-20 14:00:00,Branch C,Chicago,CUST-1899,Member,Male,52,Tablet,Electronics,8,300,0.05,Credit Card,5.0,200,2280.0,680.0
TXN-10017,2023-06-07 12:00:00,Branch A,New York,CUST-1545,Normal,Male,33,Laptop,Electronics,2,800,0.04,Credit Card,5.0,600,1536.0,336.0
TXN-10018,2023-03-06 11:00:00,Branch A,New York,CUST-1987,Member,Female,53,Office Chair,Home & Garden,5,120,0.1,Credit Card,4.7,60,540.0,240.0
TXN-10019,2023-04-19 17:00:00,Branch C,Chicago,CUST-1253,Member,Male,63,Coffee Beans,Groceries,10,15,0.14,Credit Card,4.4,8,129.0,49.0
